lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL
votare,vot'are,vot'ando,vot'ante,vot'anti,vot'ato,vot'ata,vot'ati,vot'ate,v'ota,votj'amo,vot'ate,v'oto,v'oti,v'ota,votj'amo,vot'ate,v'otano,v'oti,v'oti,v'oti,votj'amo,votj'ate,v'otino,vot'avo,vot'avi,vot'ava,votav'amo,votav'ate,vot'avano,vot'assi,vot'assi,vot'asse,vot'assimo,vot'aste,vot'assero,vot'ai,vot'asti,vot'o,vot'ammo,vot'aste,vot'arono,voter'o,voter'ai,voter'a,voter'emo,voter'ete,voter'anno,voter'ei,voter'esti,voter'ebbe,voter'emmo,voter'este,voter'ebbero
comprare,kompr'are,kompr'ando,kompr'ante,kompr'anti,kompr'ato,kompr'ata,kompr'ati,kompr'ate,k'ompra,komprj'amo,kompr'ate,k'ompro,k'ompri,k'ompra,komprj'amo,kompr'ate,k'omprano,k'ompri,k'ompri,k'ompri,komprj'amo,komprj'ate,k'omprino,kompr'avo,kompr'avi,kompr'ava,komprav'amo,komprav'ate,kompr'avano,kompr'assi,kompr'assi,kompr'asse,kompr'assimo,kompr'aste,kompr'assero,kompr'ai,kompr'asti,kompr'o,kompr'ammo,kompr'aste,kompr'arono,komprer'o,komprer'ai,komprer'a,komprer'emo,komprer'ete,komprer'anno,komprer'ei,komprer'esti,komprer'ebbe,komprer'emmo,komprer'este,komprer'ebbero
contenere,konten'ere,konten'endo,konten'ente,konten'enti,konten'uto,konten'uta,konten'uti,konten'ute,kontj'eni,kontenj'amo,konten'ete,kont'eŋgo,kontj'eni,kontj'ene,kontenj'amo,konten'ete,kont'eŋgono,kont'eŋga,kont'eŋga,kont'eŋga,kontenj'amo,kontenj'ate,kont'eŋgano,konten'evo,konten'evi,konten'eva,kontenev'amo,kontenev'ate,konten'evano,konten'essi,konten'essi,konten'esse,konten'essimo,konten'este,konten'essero,kont'enni,konten'esti,kont'enne,konten'emmo,konten'este,kont'ennero,konterr'o,konterr'ai,konterr'a,konterr'emo,konterr'ete,konterr'anno,konterr'ei,konterr'esti,konterr'ebbe,konterr'emmo,konterr'este,konterr'ebbero
rinunciare,rinuntʃ'are,rinuntʃ'ando,rinuntʃ'ante,rinuntʃ'anti,rinuntʃ'ato,rinuntʃ'ata,rinuntʃ'ati,rinuntʃ'ate,rin'untʃa,rinuntʃ'amo,rinuntʃ'ate,rin'untʃo,rin'untʃi,rin'untʃa,rinuntʃ'amo,rinuntʃ'ate,rin'untʃano,rin'untʃi,rin'untʃi,rin'untʃi,rinuntʃ'amo,rinuntʃ'ate,rin'untʃino,rinuntʃ'avo,rinuntʃ'avi,rinuntʃ'ava,rinuntʃav'amo,rinuntʃav'ate,rinuntʃ'avano,rinuntʃ'assi,rinuntʃ'assi,rinuntʃ'asse,rinuntʃ'assimo,rinuntʃ'aste,rinuntʃ'assero,rinuntʃ'ai,rinuntʃ'asti,rinuntʃ'o,rinuntʃ'ammo,rinuntʃ'aste,rinuntʃ'arono,rinuntʃer'o,rinuntʃer'ai,rinuntʃer'a,rinuntʃer'emo,rinuntʃer'ete,rinuntʃer'anno,rinuntʃer'ei,rinuntʃer'esti,rinuntʃer'ebbe,rinuntʃer'emmo,rinuntʃer'este,rinuntʃer'ebbero
riportare,riport'are,riport'ando,riport'ante,riport'anti,riport'ato,riport'ata,riport'ati,riport'ate,rip'orta,riportj'amo,riport'ate,rip'orto,rip'orti,rip'orta,riportj'amo,riport'ate,rip'ortano,rip'orti,rip'orti,rip'orti,riportj'amo,riportj'ate,rip'ortino,riport'avo,riport'avi,riport'ava,riportav'amo,riportav'ate,riport'avano,riport'assi,riport'assi,riport'asse,riport'assimo,riport'aste,riport'assero,riport'ai,riport'asti,riport'o,riport'ammo,riport'aste,riport'arono,riporter'o,riporter'ai,riporter'a,riporter'emo,riporter'ete,riporter'anno,riporter'ei,riporter'esti,riporter'ebbe,riporter'emmo,riporter'este,riporter'ebbero
escludere,eskl'udere,esklud'endo,esklud'ente,esklud'enti,eskl'uzo,eskl'uza,eskl'uzi,eskl'uze,eskl'udi,eskludj'amo,esklud'ete,eskl'udo,eskl'udi,eskl'ude,eskludj'amo,esklud'ete,eskl'udono,eskl'uda,eskl'uda,eskl'uda,eskludj'amo,eskludj'ate,eskl'udano,esklud'evo,esklud'evi,esklud'eva,eskludev'amo,eskludev'ate,esklud'evano,esklud'essi,esklud'essi,esklud'esse,esklud'essimo,esklud'este,esklud'essero,eskl'uzi,esklud'esti,eskl'uze,esklud'emmo,esklud'este,eskl'uzero,eskluder'o,eskluder'ai,eskluder'a,eskluder'emo,eskluder'ete,eskluder'anno,eskluder'ei,eskluder'esti,eskluder'ebbe,eskluder'emmo,eskluder'este,eskluder'ebbero
concedere,kontʃ'edere,kontʃed'endo,kontʃed'ente,kontʃed'enti,kontʃ'esso,kontʃ'essa,kontʃ'essi,kontʃ'esse,kontʃ'edi,kontʃedj'amo,kontʃed'ete,kontʃ'edo,kontʃ'edi,kontʃ'ede,kontʃedj'amo,kontʃed'ete,kontʃ'edono,kontʃ'eda,kontʃ'eda,kontʃ'eda,kontʃedj'amo,kontʃedj'ate,kontʃ'edano,kontʃed'evo,kontʃed'evi,kontʃed'eva,kontʃedev'amo,kontʃedev'ate,kontʃed'evano,kontʃed'essi,kontʃed'essi,kontʃed'esse,kontʃed'essimo,kontʃed'este,kontʃed'essero,kontʃ'essi,kontʃed'esti,kontʃ'esse,kontʃed'emmo,kontʃed'este,kontʃ'essero,kontʃeder'o,kontʃeder'ai,kontʃeder'a,kontʃeder'emo,kontʃeder'ete,kontʃeder'anno,kontʃeder'ei,kontʃeder'esti,kontʃeder'ebbe,kontʃeder'emmo,kontʃeder'este,kontʃeder'ebbero
durare,dur'are,dur'ando,dur'ante,dur'anti,dur'ato,dur'ata,dur'ati,dur'ate,d'ura,durj'amo,dur'ate,d'uro,d'uri,d'ura,durj'amo,dur'ate,d'urano,d'uri,d'uri,d'uri,durj'amo,durj'ate,d'urino,dur'avo,dur'avi,dur'ava,durav'amo,durav'ate,dur'avano,dur'assi,dur'assi,dur'asse,dur'assimo,dur'aste,dur'assero,dur'ai,dur'asti,dur'o,dur'ammo,dur'aste,dur'arono,durer'o,durer'ai,durer'a,durer'emo,durer'ete,durer'anno,durer'ei,durer'esti,durer'ebbe,durer'emmo,durer'este,durer'ebbero
subire,sub'ire,sub'endo,sub'ente,sub'enti,sub'ito,sub'ita,sub'iti,sub'ite,sub'iʃʃi,subj'amo,sub'ite,sub'isko,sub'iʃʃi,sub'iʃʃe,subj'amo,sub'ite,sub'iskono,sub'iska,sub'iska,sub'iska,subj'amo,subj'ate,sub'iskano,sub'ivo,sub'ivi,sub'iva,subiv'amo,subiv'ate,sub'ivano,sub'issi,sub'issi,sub'isse,sub'issimo,sub'iste,sub'issero,sub'ii,sub'isti,sub'i,sub'immo,sub'iste,sub'irono,subir'o,subir'ai,subir'a,subir'emo,subir'ete,subir'anno,subir'ei,subir'esti,subir'ebbe,subir'emmo,subir'este,subir'ebbero
notare,not'are,not'ando,not'ante,not'anti,not'ato,not'ata,not'ati,not'ate,n'ota,notj'amo,not'ate,n'oto,n'oti,n'ota,notj'amo,not'ate,n'otano,n'oti,n'oti,n'oti,notj'amo,notj'ate,n'otino,not'avo,not'avi,not'ava,notav'amo,notav'ate,not'avano,not'assi,not'assi,not'asse,not'assimo,not'aste,not'assero,not'ai,not'asti,not'o,not'ammo,not'aste,not'arono,noter'o,noter'ai,noter'a,noter'emo,noter'ete,noter'anno,noter'ei,noter'esti,noter'ebbe,noter'emmo,noter'este,noter'ebbero
soffrire,soffr'ire,soffr'endo,soffr'ente,soffr'enti,soff'erto,soff'erta,soff'erti,soff'erte,s'offri,soffrj'amo,soffr'ite,s'offro,s'offri,s'offre,soffrj'amo,soffr'ite,s'offrono,s'offra,s'offra,s'offra,soffrj'amo,soffrj'ate,s'offrano,soffr'ivo,soffr'ivi,soffr'iva,soffriv'amo,soffriv'ate,soffr'ivano,soffr'issi,soffr'issi,soffr'isse,soffr'issimo,soffr'iste,soffr'issero,soffr'ii,soffr'isti,soffr'i,soffr'immo,soffr'iste,soffr'irono,soffrir'o,soffrir'ai,soffrir'a,soffrir'emo,soffrir'ete,soffrir'anno,soffrir'ei,soffrir'esti,soffrir'ebbe,soffrir'emmo,soffrir'este,soffrir'ebbero
temere,tem'ere,tem'endo,tem'ente,tem'enti,tem'uto,tem'uta,tem'uti,tem'ute,t'emi,temj'amo,tem'ete,t'emo,t'emi,t'eme,temj'amo,tem'ete,t'emono,t'ema,t'ema,t'ema,temj'amo,temj'ate,t'emano,tem'evo,tem'evi,tem'eva,temev'amo,temev'ate,tem'evano,tem'essi,tem'essi,tem'esse,tem'essimo,tem'este,tem'essero,tem'etti,tem'esti,tem'ette,tem'emmo,tem'este,tem'ettero,temer'o,temer'ai,temer'a,temer'emo,temer'ete,temer'anno,temer'ei,temer'esti,temer'ebbe,temer'emmo,temer'este,temer'ebbero
discutere,disk'utere,diskut'endo,diskut'ente,diskut'enti,diskut'uto,diskut'uta,diskut'uti,diskut'ute,disk'uti,diskutj'amo,diskut'ete,disk'uto,disk'uti,disk'ute,diskutj'amo,diskut'ete,disk'utono,disk'uta,disk'uta,disk'uta,diskutj'amo,diskutj'ate,disk'utano,diskut'evo,diskut'evi,diskut'eva,diskutev'amo,diskutev'ate,diskut'evano,diskut'essi,diskut'essi,diskut'esse,diskut'essimo,diskut'este,diskut'essero,disk'ussi,diskut'esti,disk'usse,diskut'emmo,diskut'este,disk'ussero,diskuter'o,diskuter'ai,diskuter'a,diskuter'emo,diskuter'ete,diskuter'anno,diskuter'ei,diskuter'esti,diskuter'ebbe,diskuter'emmo,diskuter'este,diskuter'ebbero
rifiutare,rifjut'are,rifjut'ando,rifjut'ante,rifjut'anti,rifjut'ato,rifjut'ata,rifjut'ati,rifjut'ate,rifj'uta,rifjutj'amo,rifjut'ate,rifj'uto,rifj'uti,rifj'uta,rifjutj'amo,rifjut'ate,rifj'utano,rifj'uti,rifj'uti,rifj'uti,rifjutj'amo,rifjutj'ate,rifj'utino,rifjut'avo,rifjut'avi,rifjut'ava,rifjutav'amo,rifjutav'ate,rifjut'avano,rifjut'assi,rifjut'assi,rifjut'asse,rifjut'assimo,rifjut'aste,rifjut'assero,rifjut'ai,rifjut'asti,rifjut'o,rifjut'ammo,rifjut'aste,rifjut'arono,rifjuter'o,rifjuter'ai,rifjuter'a,rifjuter'emo,rifjuter'ete,rifjuter'anno,rifjuter'ei,rifjuter'esti,rifjuter'ebbe,rifjuter'emmo,rifjuter'este,rifjuter'ebbero
giudicare,dʒudik'are,dʒudik'ando,dʒudik'ante,dʒudik'anti,dʒudik'ato,dʒudik'ata,dʒudik'ati,dʒudik'ate,dʒ'udika,dʒudikj'amo,dʒudik'ate,dʒ'udiko,dʒ'udiki,dʒ'udika,dʒudikj'amo,dʒudik'ate,dʒ'udikano,dʒ'udiki,dʒ'udiki,dʒ'udiki,dʒudikj'amo,dʒudikj'ate,dʒ'udikino,dʒudik'avo,dʒudik'avi,dʒudik'ava,dʒudikav'amo,dʒudikav'ate,dʒudik'avano,dʒudik'assi,dʒudik'assi,dʒudik'asse,dʒudik'assimo,dʒudik'aste,dʒudik'assero,dʒudik'ai,dʒudik'asti,dʒudik'o,dʒudik'ammo,dʒudik'aste,dʒudik'arono,dʒudiker'o,dʒudiker'ai,dʒudiker'a,dʒudiker'emo,dʒudiker'ete,dʒudiker'anno,dʒudiker'ei,dʒudiker'esti,dʒudiker'ebbe,dʒudiker'emmo,dʒudiker'este,dʒudiker'ebbero
sedere,sed'ere,sed'endo,sed'ente,sed'enti,sed'uto,sed'uta,sed'uti,sed'ute,sj'edi,sedj'amo,sed'ete,sj'edo,sj'edi,sj'ede,sedj'amo,sed'ete,sj'edono,sj'eda,sj'eda,sj'eda,sedj'amo,sedj'ate,sj'edano,sed'evo,sed'evi,sed'eva,sedev'amo,sedev'ate,sed'evano,sed'essi,sed'essi,sed'esse,sed'essimo,sed'este,sed'essero,sed'etti,sed'esti,sed'ette,sed'emmo,sed'este,sed'ettero,sjeder'o,sjeder'ai,sjeder'a,sjeder'emo,sjeder'ete,sjeder'anno,sjeder'ei,sjeder'esti,sjeder'ebbe,sjeder'emmo,sjeder'este,sjeder'ebbero
registrare,redʒistr'are,redʒistr'ando,redʒistr'ante,redʒistr'anti,redʒistr'ato,redʒistr'ata,redʒistr'ati,redʒistr'ate,redʒ'istra,redʒistrj'amo,redʒistr'ate,redʒ'istro,redʒ'istri,redʒ'istra,redʒistrj'amo,redʒistr'ate,redʒ'istrano,redʒ'istri,redʒ'istri,redʒ'istri,redʒistrj'amo,redʒistrj'ate,redʒ'istrino,redʒistr'avo,redʒistr'avi,redʒistr'ava,redʒistrav'amo,redʒistrav'ate,redʒistr'avano,redʒistr'assi,redʒistr'assi,redʒistr'asse,redʒistr'assimo,redʒistr'aste,redʒistr'assero,redʒistr'ai,redʒistr'asti,redʒistr'o,redʒistr'ammo,redʒistr'aste,redʒistr'arono,redʒistrer'o,redʒistrer'ai,redʒistrer'a,redʒistrer'emo,redʒistrer'ete,redʒistrer'anno,redʒistrer'ei,redʒistrer'esti,redʒistrer'ebbe,redʒistrer'emmo,redʒistrer'este,redʒistrer'ebbero
accogliere,akk'oʎʎere,akkoʎʎ'endo,akkoʎʎ'ente,akkoʎʎ'enti,akk'olto,akk'olta,akk'olti,akk'olte,akk'oʎʎi,akkoʎʎ'amo,akkoʎʎ'ete,akk'olgo,akk'oʎʎi,akk'oʎʎe,akkoʎʎ'amo,akkoʎʎ'ete,akk'olgono,akk'olga,akk'olga,akk'olga,akkoʎʎ'amo,akkoʎʎ'ate,akk'olgano,akkoʎʎ'evo,akkoʎʎ'evi,akkoʎʎ'eva,akkoʎʎev'amo,akkoʎʎev'ate,akkoʎʎ'evano,akkoʎʎ'essi,akkoʎʎ'essi,akkoʎʎ'esse,akkoʎʎ'essimo,akkoʎʎ'este,akkoʎʎ'essero,akk'olsi,akkoʎʎ'esti,akk'olse,akkoʎʎ'emmo,akkoʎʎ'este,akk'olsero,akkoʎʎer'o,akkoʎʎer'ai,akkoʎʎer'a,akkoʎʎer'emo,akkoʎʎer'ete,akkoʎʎer'anno,akkoʎʎer'ei,akkoʎʎer'esti,akkoʎʎer'ebbe,akkoʎʎer'emmo,akkoʎʎer'este,akkoʎʎer'ebbero
denunciare,denuntʃ'are,denuntʃ'ando,denuntʃ'ante,denuntʃ'anti,denuntʃ'ato,denuntʃ'ata,denuntʃ'ati,denuntʃ'ate,den'untʃa,denuntʃ'amo,denuntʃ'ate,den'untʃo,den'untʃi,den'untʃa,denuntʃ'amo,denuntʃ'ate,den'untʃano,den'untʃi,den'untʃi,den'untʃi,denuntʃ'amo,denuntʃ'ate,den'untʃino,denuntʃ'avo,denuntʃ'avi,denuntʃ'ava,denuntʃav'amo,denuntʃav'ate,denuntʃ'avano,denuntʃ'assi,denuntʃ'assi,denuntʃ'asse,denuntʃ'assimo,denuntʃ'aste,denuntʃ'assero,denuntʃ'ai,denuntʃ'asti,denuntʃ'o,denuntʃ'ammo,denuntʃ'aste,denuntʃ'arono,denuntʃer'o,denuntʃer'ai,denuntʃer'a,denuntʃer'emo,denuntʃer'ete,denuntʃer'anno,denuntʃer'ei,denuntʃer'esti,denuntʃer'ebbe,denuntʃer'emmo,denuntʃer'este,denuntʃer'ebbero
impedire,imped'ire,imped'endo,imped'ente,imped'enti,imped'ito,imped'ita,imped'iti,imped'ite,imped'iʃʃi,impedj'amo,imped'ite,imped'isko,imped'iʃʃi,imped'iʃʃe,impedj'amo,imped'ite,imped'iskono,imped'iska,imped'iska,imped'iska,impedj'amo,impedj'ate,imped'iskano,imped'ivo,imped'ivi,imped'iva,impediv'amo,impediv'ate,imped'ivano,imped'issi,imped'issi,imped'isse,imped'issimo,imped'iste,imped'issero,imped'ii,imped'isti,imped'i,imped'immo,imped'iste,imped'irono,impedir'o,impedir'ai,impedir'a,impedir'emo,impedir'ete,impedir'anno,impedir'ei,impedir'esti,impedir'ebbe,impedir'emmo,impedir'este,impedir'ebbero
commentare,komment'are,komment'ando,komment'ante,komment'anti,komment'ato,komment'ata,komment'ati,komment'ate,komm'enta,kommentj'amo,komment'ate,komm'ento,komm'enti,komm'enta,kommentj'amo,komment'ate,komm'entano,komm'enti,komm'enti,komm'enti,kommentj'amo,kommentj'ate,komm'entino,komment'avo,komment'avi,komment'ava,kommentav'amo,kommentav'ate,komment'avano,komment'assi,komment'assi,komment'asse,komment'assimo,komment'aste,komment'assero,komment'ai,komment'asti,komment'o,komment'ammo,komment'aste,komment'arono,kommenter'o,kommenter'ai,kommenter'a,kommenter'emo,kommenter'ete,kommenter'anno,kommenter'ei,kommenter'esti,kommenter'ebbe,kommenter'emmo,kommenter'este,kommenter'ebbero
promettere,prom'ettere,promett'endo,promett'ente,promett'enti,prom'esso,prom'essa,prom'essi,prom'esse,prom'etti,promettj'amo,promett'ete,prom'etto,prom'etti,prom'ette,promettj'amo,promett'ete,prom'ettono,prom'etta,prom'etta,prom'etta,promettj'amo,promettj'ate,prom'ettano,promett'evo,promett'evi,promett'eva,promettev'amo,promettev'ate,promett'evano,promett'essi,promett'essi,promett'esse,promett'essimo,promett'este,promett'essero,prom'izi,promett'esti,prom'ize,promett'emmo,promett'este,prom'izero,prometter'o,prometter'ai,prometter'a,prometter'emo,prometter'ete,prometter'anno,prometter'ei,prometter'esti,prometter'ebbe,prometter'emmo,prometter'este,prometter'ebbero
dividere,div'idere,divid'endo,divid'ente,divid'enti,div'izo,div'iza,div'izi,div'ize,div'idi,dividj'amo,divid'ete,div'ido,div'idi,div'ide,dividj'amo,divid'ete,div'idono,div'ida,div'ida,div'ida,dividj'amo,dividj'ate,div'idano,divid'evo,divid'evi,divid'eva,dividev'amo,dividev'ate,divid'evano,divid'essi,divid'essi,divid'esse,divid'essimo,divid'este,divid'essero,div'izi,divid'esti,div'ize,divid'emmo,divid'este,div'izero,divider'o,divider'ai,divider'a,divider'emo,divider'ete,divider'anno,divider'ei,divider'esti,divider'ebbe,divider'emmo,divider'este,divider'ebbero
conquistare,koŋkwist'are,koŋkwist'ando,koŋkwist'ante,koŋkwist'anti,koŋkwist'ato,koŋkwist'ata,koŋkwist'ati,koŋkwist'ate,koŋkw'ista,koŋkwistj'amo,koŋkwist'ate,koŋkw'isto,koŋkw'isti,koŋkw'ista,koŋkwistj'amo,koŋkwist'ate,koŋkw'istano,koŋkw'isti,koŋkw'isti,koŋkw'isti,koŋkwistj'amo,koŋkwistj'ate,koŋkw'istino,koŋkwist'avo,koŋkwist'avi,koŋkwist'ava,koŋkwistav'amo,koŋkwistav'ate,koŋkwist'avano,koŋkwist'assi,koŋkwist'assi,koŋkwist'asse,koŋkwist'assimo,koŋkwist'aste,koŋkwist'assero,koŋkwist'ai,koŋkwist'asti,koŋkwist'o,koŋkwist'ammo,koŋkwist'aste,koŋkwist'arono,koŋkwister'o,koŋkwister'ai,koŋkwister'a,koŋkwister'emo,koŋkwister'ete,koŋkwister'anno,koŋkwister'ei,koŋkwister'esti,koŋkwister'ebbe,koŋkwister'emmo,koŋkwister'este,koŋkwister'ebbero
arrestare,arrest'are,arrest'ando,arrest'ante,arrest'anti,arrest'ato,arrest'ata,arrest'ati,arrest'ate,arr'esta,arrestj'amo,arrest'ate,arr'esto,arr'esti,arr'esta,arrestj'amo,arrest'ate,arr'estano,arr'esti,arr'esti,arr'esti,arrestj'amo,arrestj'ate,arr'estino,arrest'avo,arrest'avi,arrest'ava,arrestav'amo,arrestav'ate,arrest'avano,arrest'assi,arrest'assi,arrest'asse,arrest'assimo,arrest'aste,arrest'assero,arrest'ai,arrest'asti,arrest'o,arrest'ammo,arrest'aste,arrest'arono,arrester'o,arrester'ai,arrester'a,arrester'emo,arrester'ete,arrester'anno,arrester'ei,arrester'esti,arrester'ebbe,arrester'emmo,arrester'este,arrester'ebbero
riferire,rifer'ire,rifer'endo,rifer'ente,rifer'enti,rifer'ito,rifer'ita,rifer'iti,rifer'ite,rifer'iʃʃi,riferj'amo,rifer'ite,rifer'isko,rifer'iʃʃi,rifer'iʃʃe,riferj'amo,rifer'ite,rifer'iskono,rifer'iska,rifer'iska,rifer'iska,riferj'amo,riferj'ate,rifer'iskano,rifer'ivo,rifer'ivi,rifer'iva,riferiv'amo,riferiv'ate,rifer'ivano,rifer'issi,rifer'issi,rifer'isse,rifer'issimo,rifer'iste,rifer'issero,rifer'ii,rifer'isti,rifer'i,rifer'immo,rifer'iste,rifer'irono,riferir'o,riferir'ai,riferir'a,riferir'emo,riferir'ete,riferir'anno,riferir'ei,riferir'esti,riferir'ebbe,riferir'emmo,riferir'este,riferir'ebbero
verificare,verifik'are,verifik'ando,verifik'ante,verifik'anti,verifik'ato,verifik'ata,verifik'ati,verifik'ate,ver'ifika,verifikj'amo,verifik'ate,ver'ifiko,ver'ifiki,ver'ifika,verifikj'amo,verifik'ate,ver'ifikano,ver'ifiki,ver'ifiki,ver'ifiki,verifikj'amo,verifikj'ate,ver'ifikino,verifik'avo,verifik'avi,verifik'ava,verifikav'amo,verifikav'ate,verifik'avano,verifik'assi,verifik'assi,verifik'asse,verifik'assimo,verifik'aste,verifik'assero,verifik'ai,verifik'asti,verifik'o,verifik'ammo,verifik'aste,verifik'arono,verifiker'o,verifiker'ai,verifiker'a,verifiker'emo,verifiker'ete,verifiker'anno,verifiker'ei,verifiker'esti,verifiker'ebbe,verifiker'emmo,verifiker'este,verifiker'ebbero
appartenere,apparten'ere,apparten'endo,apparten'ente,apparten'enti,apparten'uto,apparten'uta,apparten'uti,apparten'ute,appartj'eni,appartenj'amo,apparten'ete,appart'eŋgo,appartj'eni,appartj'ene,appartenj'amo,apparten'ete,appart'eŋgono,appart'eŋga,appart'eŋga,appart'eŋga,appartenj'amo,appartenj'ate,appart'eŋgano,apparten'evo,apparten'evi,apparten'eva,appartenev'amo,appartenev'ate,apparten'evano,apparten'essi,apparten'essi,apparten'esse,apparten'essimo,apparten'este,apparten'essero,appart'enni,apparten'esti,appart'enne,apparten'emmo,apparten'este,appart'ennero,apparterr'o,apparterr'ai,apparterr'a,apparterr'emo,apparterr'ete,apparterr'anno,apparterr'ei,apparterr'esti,apparterr'ebbe,apparterr'emmo,apparterr'este,apparterr'ebbero
suonare,swon'are,swon'ando,swon'ante,swon'anti,swon'ato,swon'ata,swon'ati,swon'ate,sw'ona,swonj'amo,swon'ate,sw'ono,sw'oni,sw'ona,swonj'amo,swon'ate,sw'onano,sw'oni,sw'oni,sw'oni,swonj'amo,swonj'ate,sw'onino,swon'avo,swon'avi,swon'ava,swonav'amo,swonav'ate,swon'avano,swon'assi,swon'assi,swon'asse,swon'assimo,swon'aste,swon'assero,swon'ai,swon'asti,swon'o,swon'ammo,swon'aste,swon'arono,swoner'o,swoner'ai,swoner'a,swoner'emo,swoner'ete,swoner'anno,swoner'ei,swoner'esti,swoner'ebbe,swoner'emmo,swoner'este,swoner'ebbero
comportare,komport'are,komport'ando,komport'ante,komport'anti,komport'ato,komport'ata,komport'ati,komport'ate,komp'orta,komportj'amo,komport'ate,komp'orto,komp'orti,komp'orta,komportj'amo,komport'ate,komp'ortano,komp'orti,komp'orti,komp'orti,komportj'amo,komportj'ate,komp'ortino,komport'avo,komport'avi,komport'ava,komportav'amo,komportav'ate,komport'avano,komport'assi,komport'assi,komport'asse,komport'assimo,komport'aste,komport'assero,komport'ai,komport'asti,komport'o,komport'ammo,komport'aste,komport'arono,komporter'o,komporter'ai,komporter'a,komporter'emo,komporter'ete,komporter'anno,komporter'ei,komporter'esti,komporter'ebbe,komporter'emmo,komporter'este,komporter'ebbero
scattare,skatt'are,skatt'ando,skatt'ante,skatt'anti,skatt'ato,skatt'ata,skatt'ati,skatt'ate,sk'atta,skattj'amo,skatt'ate,sk'atto,sk'atti,sk'atta,skattj'amo,skatt'ate,sk'attano,sk'atti,sk'atti,sk'atti,skattj'amo,skattj'ate,sk'attino,skatt'avo,skatt'avi,skatt'ava,skattav'amo,skattav'ate,skatt'avano,skatt'assi,skatt'assi,skatt'asse,skatt'assimo,skatt'aste,skatt'assero,skatt'ai,skatt'asti,skatt'o,skatt'ammo,skatt'aste,skatt'arono,skatter'o,skatter'ai,skatter'a,skatter'emo,skatter'ete,skatter'anno,skatter'ei,skatter'esti,skatter'ebbe,skatter'emmo,skatter'este,skatter'ebbero
sparare,spar'are,spar'ando,spar'ante,spar'anti,spar'ato,spar'ata,spar'ati,spar'ate,sp'ara,sparj'amo,spar'ate,sp'aro,sp'ari,sp'ara,sparj'amo,spar'ate,sp'arano,sp'ari,sp'ari,sp'ari,sparj'amo,sparj'ate,sp'arino,spar'avo,spar'avi,spar'ava,sparav'amo,sparav'ate,spar'avano,spar'assi,spar'assi,spar'asse,spar'assimo,spar'aste,spar'assero,spar'ai,spar'asti,spar'o,spar'ammo,spar'aste,spar'arono,sparer'o,sparer'ai,sparer'a,sparer'emo,sparer'ete,sparer'anno,sparer'ei,sparer'esti,sparer'ebbe,sparer'emmo,sparer'este,sparer'ebbero
avvertire,avvert'ire,avvert'endo,avvert'ente,avvert'enti,avvert'ito,avvert'ita,avvert'iti,avvert'ite,avv'erti,avvertj'amo,avvert'ite,avv'erto,avv'erti,avv'erte,avvertj'amo,avvert'ite,avv'ertono,avv'erta,avv'erta,avv'erta,avvertj'amo,avvertj'ate,avv'ertano,avvert'ivo,avvert'ivi,avvert'iva,avvertiv'amo,avvertiv'ate,avvert'ivano,avvert'issi,avvert'issi,avvert'isse,avvert'issimo,avvert'iste,avvert'issero,avvert'ii,avvert'isti,avvert'i,avvert'immo,avvert'iste,avvert'irono,avvertir'o,avvertir'ai,avvertir'a,avvertir'emo,avvertir'ete,avvertir'anno,avvertir'ei,avvertir'esti,avvertir'ebbe,avvertir'emmo,avvertir'este,avvertir'ebbero
rientrare,rientr'are,rientr'ando,rientr'ante,rientr'anti,rientr'ato,rientr'ata,rientr'ati,rientr'ate,ri'entra,rientrj'amo,rientr'ate,ri'entro,ri'entri,ri'entra,rientrj'amo,rientr'ate,ri'entrano,ri'entri,ri'entri,ri'entri,rientrj'amo,rientrj'ate,ri'entrino,rientr'avo,rientr'avi,rientr'ava,rientrav'amo,rientrav'ate,rientr'avano,rientr'assi,rientr'assi,rientr'asse,rientr'assimo,rientr'aste,rientr'assero,rientr'ai,rientr'asti,rientr'o,rientr'ammo,rientr'aste,rientr'arono,rientrer'o,rientrer'ai,rientrer'a,rientrer'emo,rientrer'ete,rientrer'anno,rientrer'ei,rientrer'esti,rientrer'ebbe,rientrer'emmo,rientrer'este,rientrer'ebbero
